Chromosome	Start	End	Methylated_allele	Name	Reference
chr1	11501432	11501606	Maternal	PTCHD2	Hernandez
chr1	21292978	21293090	Maternal	ECE1;LOC100506801	Hernandez
chr1	32471178	32471396	Maternal	ZBTB8B	Joshi
chr1	39515809	39516076	Maternal	BMP8A	Akbari
chr1	39558940	39560069	Maternal	PPIEL,PABPC4	Akbari,Court,Hernandez,Joshi,Zink
chr1	68046745	68052008	Maternal	DIRAS3,DIRAS3_Ex2,GNG12-AS1	Akbari,Court,Hernandez,Joshi,Zink
chr1	177032657	177032837	Maternal	ASTN1	Zink
chr1	228315991	228316101	Maternal	OBSCN	Joshi
chr10	13158319	13158651	Maternal	BTBD7P1	Akbari
chr10	27413523	27414618	Maternal	PTCHD3	Akbari,Hernandez
chr10	97578421	97578764	Maternal	ANKRD2	Akbari
chr10	119818422	119819215	Maternal	INPP5F	Akbari,Court,Hernandez
chr10	123991870	123992195	Maternal	YBX2P1	Akbari
chr11	1997582	2003557	Paternal	H19,H19/IGF2	Akbari,Court,Hernandez
chr11	2132351	2133882	Paternal	IGF2_DMR2,IGF2,INS-IGF2	Akbari,Court,Hernandez,Zink
chr11	2145362	2149292	Paternal	IGF2_DMR0,IGF2,IGF2-AS,INS-IGF2	Akbari,Court,Hernandez,Zink
chr11	2698551	2701309	Maternal	KvDMR1,KCNQ1,KCNQ1OT1	Akbari,Court,Hernandez,Zink
chr11	7088807	7089387	Maternal	RBMXL2	Akbari,Hernandez,Zink
chr11	132792877	132793069	Maternal	OPCML	Hernandez
chr11	133081592	133082483	Maternal	OPCML	Akbari
chr12	203429	204151	Maternal	SLC6A12,RP11-283I3.2	Zink
chr12	3838757	3839247	Paternal	PARP11	Akbari
chr12	6444419	6444886	Maternal	CD27,CD27-AS1,LOC678655	Hernandez
chr12	14773810	14774053	Maternal	H2AFJ	Hernandez
chr12	31117761	31120516	Maternal	AC024940.1	Akbari
chr12	96223999	96224321	Paternal	ELK3	Hernandez
chr12	130337741	130338059	Maternal	PIWIL1	Hernandez
chr13	20120765	20121239	Maternal	GJA3	Akbari
chr13	48317165	48321834	Maternal	RB1,PPP1R26P1	Akbari,Court,Hernandez,Joshi,Zink
chr13	48410208	48413428	Maternal	LPAR6,RB1	Akbari
chr13	60267419	60269245	Maternal	TARDBPP2	Akbari,Hernandez,Zink
chr13	99215482	99215886	Paternal	UBAC2	Akbari
chr13	100975561	100975832	Maternal	NALCN-AS1	Akbari
chr14	33799699	33800646	Maternal	NPAS3	Akbari,Zink
chr14	52269042	52269418	Maternal	PTGDR	Akbari
chr14	100726514	100726577	Paternal	DLK1	Joshi,Zink
chr14	100807670	100811737	Paternal	IG-DMR,MEG3,MEG3/DLK1	Akbari,Court,Hernandez,Zink
chr14	100823704	100828230	Paternal	MEG3,AL117190.1	Akbari,Court,Hernandez,Joshi,Zink
chr14	100900401	100901267	Maternal	MEG8,SNHG23	Zink
chr14	100904158	100905235	Maternal	MEG8,SNHG23	Akbari,Court,Hernandez,Zink
chr14	106399075	106399179	Maternal	IGHV3-37	Hernandez
chr15	23561842	23567348	Maternal	MIR4508,MKRN3	Akbari,Court,Hernandez,Joshi
chr15	23606638	23609456	Paternal	MKRN3	Zink
chr15	23629039	23629213	Maternal	MKRN3	Zink
chr15	23634077	23634289	Maternal	MKRN3	Zink
chr15	23642878	23643103	Maternal	MAGEL2	Zink
chr15	23647089	23649052	Maternal	MAGEL2	Akbari,Court,Hernandez,Joshi,Zink
chr15	23686274	23688131	Maternal	NDN	Akbari,Court,Hernandez,Joshi,Zink
chr15	23797680	23798290	Maternal	RNU6-741P	Zink
chr15	23829311	23829706	Paternal	RNU6-741P	Zink
chr15	23854644	23855506	Maternal	RP11-484P15.1	Zink
chr15	23857016	23861887	Maternal	RP11-484P15.1	Akbari,Zink,Zink
chr15	23869152	23869962	Maternal	RP11-484P15.1	Akbari,Zink
chr15	23877454	23878654	Maternal	RP11-484P15.1	Akbari,Zink
chr15	23883075	23883432	Paternal	RP11-484P15.1	Zink
chr15	23896280	23898594	Maternal	PWRN4,RP11-484P15.1	Akbari,Joshi,Zink
chr15	23914065	23915807	Paternal	RP11-484P15.1	Zink
chr15	23939735	23940870	Paternal	RP11-484P15.1	Zink
chr15	24009020	24009903	Paternal	PWRN4	Zink
chr15	24029218	24029630	Paternal	PWRN4	Zink
chr15	24050087	24051502	Paternal	PWRN4	Zink
chr15	24101056	24102058	Maternal	SNRPN_intragenic_CpG32,PWRN2	Akbari,Court,Zink
chr15	24156357	24157105	Paternal	PWRN2	Zink
chr15	24163134	24163879	Paternal	PWRN2	Zink
chr15	24174217	24175175	Paternal	PWRN2	Zink
chr15	24274859	24275806	Paternal	RP11-580I1.2	Zink
chr15	24426478	24427725	Maternal	SNRPN_intragenic_CpG29,PWRN3	Akbari,Court,Zink
chr15	24477606	24478059	Maternal	SNRPN_intragenic_CpG30	Akbari,Court
chr15	24576113	24576926	Paternal	PWRN1	Zink
chr15	24578494	24579011	Paternal	PWRN1	Zink
chr15	24768838	24769820	Paternal	PWRN1,SNRPN	Hernandez,Zink
chr15	24772309	24773912	Maternal	SNRPN_intragenic_CpG40,SNRPN	Akbari,Court,Hernandez,Joshi,Zink
chr15	24823416	24824759	Maternal	SNRPN	Akbari,Court,Hernandez,Joshi,Zink
chr15	24846843	24848682	Maternal	SNRPN,RP11-385H1.1	Akbari,Court,Hernandez,Joshi,Zink
chr15	24856474	24859220	Maternal	SNRPN	Joshi,Zink
chr15	24877552	24880264	Maternal	SNRPN	Akbari,Court,Hernandez,Joshi,Zink
chr15	24910643	24911281	Paternal	SNRPN,AC090602.2	Zink
chr15	24951568	24957247	Maternal	SNURF,SNRPN,RP11-701H24.9	Akbari,Court,Hernandez,Joshi,Zink
chr15	24957248	25001555	Paternal	PWAR5,PWARSN,SNORD107,SNORD64,SNORD108,RP11-701H24.9,SNHG14	Akbari,Joshi,Zink,Akbari,Zink
chr15	25002560	25031118	Paternal	SNHG14	Akbari,Zink
chr15	25038500	25057251	Paternal	SNORD116Cluster,SNHG14	Akbari,Joshi,Zink,Akbari,Zink
chr15	25059478	25100741	Paternal	SNORD116Cluster,SNHG14	Akbari,Joshi,Zink,Akbari,Zink
chr15	25141053	25144023	Paternal	SNHG14	Akbari
chr15	25181244	25184030	Paternal	SNORD115Cluster	Joshi,Zink
chr15	29675828	29675992	Maternal	AC022613.1	Hernandez
